id,ordernumber,customerid,customername,customeremail,product,category,quantity,price,total,status,paymentstatus,paymentmethod,country,createdat
"137","ORD-X13RKAFL","96","Felicity Howe","Oral75@gmail.com","Mechanical Keyboard","Accessories","1","143","143","Delivered","Paid","Cash","Saint Helena","2026-05-30T01:13:44.468Z"
"138","ORD-U4NEA71X","123","Reina Kemmer","Chester_Quigley@gmail.com","iPhone 15 Pro","Phone","3","1246","3738","Pending","Pending","Credit Card","Jordan","2026-04-19T17:46:24.199Z"
"139","ORD-3JTUH6NG","200","Fannie Mayer","Blair_Schamberger@gmail.com","iPhone 15 Pro","Phone","2","997","1994","Processing","Paid","Cash","Georgia","2026-07-06T18:51:23.033Z"
"140","ORD-UUK11BFT","120","Doris Rutherford","Freda.Funk18@yahoo.com","Mechanical Keyboard","Accessories","1","210","210","Pending","Pending","Credit Card","Guernsey","2026-04-30T13:55:04.151Z"
"141","ORD-X9SWW8HT","160","Orion Collins","Eleanora.Herman99@gmail.com","iPad Pro","Tablet","3","1165","3495","Processing","Paid","PayPal","Martinique","2026-04-16T06:45:32.083Z"
"142","ORD-0B3QFX9Q","199","Tyrone Hills-Tremblay","Kenya.Prosacco@hotmail.com","Apple Watch Ultra","Watch","1","984","984","Delivered","Paid","PayPal","South Sudan","2026-07-07T22:12:49.800Z"
"143","ORD-UJZMJIYD","25","Myra Berge","Elizabeth19@gmail.com","iPhone 15 Pro","Phone","3","914","2742","Delivered","Paid","Cash","Sint Maarten","2026-07-30T21:54:06.807Z"
"144","ORD-K6TXMMY0","27","Alessia Pacocha","Desiree.Dare@gmail.com","Samsung Monitor","Monitor","3","880","2640","Delivered","Paid","Cash","Uzbekistan","2026-06-22T17:56:47.280Z"
"145","ORD-QNBNQBBA","98","Leonie Pfeffer","Marsha_Bauch@yahoo.com","iPhone 15 Pro","Phone","1","1041","1041","Delivered","Paid","PayPal","Ukraine","2026-05-28T21:10:44.413Z"
"146","ORD-HTKFQ8WU","8","Sophie Swaniawski","Melody.Reichert@hotmail.com","Apple Watch Ultra","Watch","4","604","2416","Processing","Paid","Credit Card","Ethiopia","2026-06-20T19:11:11.362Z"
"147","ORD-28D9M5Q8","52","Jason Dietrich","Marcella_Ullrich@hotmail.com","Samsung Monitor","Monitor","1","644","644","Delivered","Paid","PayPal","Curaçao","2026-03-08T02:18:10.737Z"
"148","ORD-5RNIRFO2","159","Gino Hackett","Kareem.Fadel@hotmail.com","Mechanical Keyboard","Accessories","4","239","956","Delivered","Paid","Cash","Pakistan","2026-07-24T14:12:46.789Z"
"149","ORD-W6UFXZ5S","9","Veda Jaskolski","Wilbert.McDermott@hotmail.com","iPad Pro","Tablet","4","954","3816","Pending","Paid","Cash","Singapore","2026-02-05T22:10:44.336Z"
"150","ORD-4VGF44AH","99","Vernon Kozey-Fahey","David19@gmail.com","Mechanical Keyboard","Accessories","4","83","332","Cancelled","Failed","Credit Card","Sao Tome and Principe","2026-04-26T02:33:42.976Z"
